Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,Tm,Salary,Cap Hit
Frank Vatrano,20232024,ANA,L,R,79,33,23,56,-21,81,0.71,19,34,12,19,2,3,2,7,266,12.4,18:24,34.6,ANA,3650000,3650000
Frederick Gaudreau,20232024,MIN,R,C,65,5,10,15,-21,12,0.23,3,8,2,7,0,0,0,1,102,4.9,14:02,50.1,NA,NA,NA
Gabriel Vilardi,20232024,WPG,R,C,44,20,14,34,9,10,0.77,12,21,8,13,0,0,0,5,113,17.7,17:01,45.6,WPG,3275000,3437500
Garnet Hathaway,20232024,PHI,R,R,80,7,10,17,-6,132,0.21,6,14,0,0,1,3,0,1,102,6.9,12:23,66.7,PHI,1700000,2375000
Gustav Forsling,20232024,FLA,L,D,77,10,28,38,51,41,0.49,9,36,1,2,0,0,1,1,157,6.4,22:02,--,FLA,3500000,2666667
Gustav Nyquist,20232024,NSH,L,C,79,22,50,72,8,8,0.91,16,48,5,22,1,2,0,4,149,14.8,17:47,37.8,NSH,3185000,3185000
Hampus Lindholm,20232024,BOS,L,D,70,3,23,26,17,63,0.37,2,21,1,5,0,0,0,0,98,3.1,23:20,--,BOS,6000000,6500000
Hendrix Lapierre,20232024,WSH,L,C,48,8,13,21,0,4,0.44,8,19,0,2,0,0,0,1,50,16,11:29,37.6,WSH,832500,863333
Henri Jokiharju,20232024,BUF,R,D,72,3,16,19,12,24,0.26,3,18,0,0,0,1,1,1,83,3.6,18:56,--,BUF,2600000,2500000
Ilya Mikheyev,20232024,VAN,L,R,75,11,19,30,1,4,0.4,11,30,0,0,0,0,0,1,139,7.9,14:18,32,VAN,5350000,4750000
Ivan Barbashev,20232024,VGK,L,C,78,18,26,44,15,42,0.56,15,39,3,5,0,0,0,3,114,15.8,16:06,42.5,VEG,3000000,5000000
Ivan Provorov,20232024,CBJ,L,D,80,5,26,31,-10,20,0.39,5,24,0,7,0,0,0,0,106,4.7,22:10,--,CBJ,3850000,4725000
J.J. Moser,20232024,ARI,L,D,77,5,21,26,-3,31,0.34,5,21,0,3,0,2,0,0,73,6.9,20:37,--,ARI,832500,886667
J.T. Compher,20232024,DET,R,L,74,17,27,44,-5,34,0.59,10,33,5,9,2,2,0,0,103,16.5,19:26,44.5,DET,5500000,5100000
J.T. Miller,20232024,VAN,L,C,79,36,65,101,30,56,1.28,24,59,10,40,2,2,2,9,188,19.2,19:33,56.5,VAN,1000000,8000000
Jaccob Slavin,20232024,CAR,L,D,79,5,30,35,17,8,0.44,3,32,0,0,2,3,0,0,146,3.4,20:55,--,CAR,5500000,5300000
Jack Drury,20232024,CAR,L,C,71,8,19,27,7,33,0.38,6,20,2,7,0,0,0,0,101,7.9,12:09,55.4,CAR,832500,925000
Jack Eichel,20232024,VGK,R,C,59,29,34,63,5,27,1.07,20,43,9,19,0,1,2,6,259,11.2,20:34,44.8,VEG,10000000,10000000
Jack Hughes,20232024,NJD,L,C,62,27,47,74,-12,12,1.19,18,43,9,31,0,0,2,4,274,9.9,20:58,37.2,NJD,8500000,8000000
Jack Johnson,20232024,COL,L,D,77,3,13,16,16,38,0.21,3,16,0,0,0,0,0,0,74,4.1,14:48,--,COL,775000,775000
Jack McBain,20232024,ARI,L,C,64,8,15,23,5,48,0.36,8,23,0,0,0,0,1,2,54,14.8,12:34,45.2,ARI,1599999,1599999
Jack Quinn,20232024,BUF,R,R,25,8,8,16,-2,8,0.64,8,14,0,2,0,0,0,2,46,17.4,15:35,33.3,BUF,832500,863333
Jack Roslovic,20232024,"CBJ,NYR",R,C,57,8,22,30,-11,16,0.53,7,25,0,4,1,1,1,2,111,7.2,15:41,42.4,NYR,2000000,2000000
Jackson LaCombe,20232024,ANA,L,D,68,1,13,14,-25,24,0.21,1,12,0,2,0,0,0,0,53,1.9,19:20,--,ANA,832500,925000
Jacob Bernard-Docker,20232024,OTT,R,D,69,4,10,14,-5,25,0.2,4,13,0,0,0,1,0,0,48,8.3,15:44,--,OTT,785000,805000
Jacob Trouba,20232024,NYR,R,D,67,3,19,22,-5,73,0.33,3,20,0,1,0,1,0,0,123,2.4,21:17,--,NYR,8000000,8000000
Jaden Schwartz,20232024,SEA,L,C,58,13,17,30,-11,22,0.52,6,20,7,10,0,0,0,0,113,11.5,16:27,58,SEA,7000000,5500000
Jake DeBrusk,20232024,BOS,L,L,77,18,21,39,7,18,0.51,14,27,2,10,2,2,1,3,175,10.3,16:52,30.4,BOS,4000000,4000000
Jake Evans,20232024,MTL,R,C,79,7,18,25,-3,24,0.32,6,24,0,0,1,1,0,1,79,8.9,15:58,51.9,MTL,1700000,1700000
Jake Guentzel,20232024,"PIT,CAR",L,C,65,28,46,74,21,20,1.14,23,52,5,22,0,0,0,2,233,12,20:07,23.8,CAR,4500000,4500000
Jake McCabe,20232024,TOR,L,D,71,8,20,28,19,54,0.39,7,25,1,2,0,1,1,3,73,11,20:44,--,TOR,2000000,2000000
Jake Middleton,20232024,MIN,L,D,76,7,15,22,-16,77,0.29,7,21,0,0,0,1,0,1,83,8.4,19:52,--,NA,NA,NA
Jake Neighbours,20232024,STL,L,L,77,27,11,38,-16,21,0.49,19,24,8,14,0,0,0,4,145,18.6,15:42,37.9,STL,832500,835833
Jake Sanderson,20232024,OTT,L,D,76,10,25,35,9,23,0.46,7,23,3,12,0,0,1,3,157,6.4,23:08,100,OTT,832500,925000
Jake Walman,20232024,DET,L,D,63,12,9,21,-2,44,0.33,11,16,1,4,0,1,2,3,108,11.1,19:46,--,DET,3500000,3400000
Jakob Chychrun,20232024,OTT,L,D,79,13,27,40,-27,60,0.51,6,24,7,16,0,0,0,1,198,6.6,22:29,--,OTT,4400000,4600000
Jakob Silfverberg,20232024,ANA,R,R,78,7,12,19,4,22,0.24,5,13,1,4,1,2,0,1,99,7.1,13:03,34,ANA,5250000,5250000
Jalen Chatfield,20232024,CAR,R,D,70,8,14,22,14,20,0.31,8,22,0,0,0,0,0,2,89,9,15:07,--,CAR,775000,762500
James van Riemsdyk,20232024,BOS,L,L,70,11,27,38,7,20,0.54,5,26,6,12,0,0,0,3,140,7.9,13:30,47.6,BOS,1000000,1000000
Jamie Benn,20232024,DAL,L,L,80,21,38,59,8,41,0.74,13,35,7,21,1,3,0,3,159,13.2,15:06,61,DAL,1000000,9500000
Jamie Oleksiak,20232024,SEA,L,D,78,2,12,14,-4,37,0.18,2,13,0,0,0,1,0,0,106,1.9,19:42,--,SEA,6000000,4600000
Jan Rutta,20232024,SJS,R,D,68,4,14,18,-19,38,0.26,4,16,0,0,0,2,0,1,67,6,19:43,--,SJS,2500000,2750000
Jared McCann,20232024,SEA,L,L,76,28,32,60,-8,27,0.79,17,35,9,23,2,2,1,3,204,13.7,16:43,49,SEA,6000000,5000000
Jason Dickinson,20232024,CHI,L,C,78,21,13,34,5,43,0.44,19,32,2,2,0,0,0,4,121,17.4,16:34,50.4,CHI,3250000,2650000
Jason Robertson,20232024,DAL,L,L,80,28,50,78,18,22,0.98,20,51,8,27,0,0,0,3,224,12.5,18:19,--,DAL,8000000,7750000
Jason Zucker,20232024,"ARI,NSH",L,L,66,13,18,31,-11,67,0.47,9,22,4,9,0,0,0,0,145,9,13:51,39.4,NSH,5300000,5300000
Jean-Gabriel Pageau,20232024,NYI,R,C,79,10,22,32,-8,13,0.41,8,24,1,2,1,6,1,2,96,10.4,16:02,55.7,NYI,4500000,5000000
Jeff Carter,20232024,PIT,R,C,69,10,4,14,-6,12,0.2,5,9,3,3,2,2,0,4,82,12.2,12:32,62.2,PIT,3000000,3125000
Jeff Petry,20232024,DET,R,D,70,3,20,23,-6,39,0.33,3,22,0,0,0,1,0,0,80,3.8,18:49,--,DET,1687500,2343750
Jeff Skinner,20232024,BUF,L,L,72,24,22,46,-2,34,0.64,16,34,8,12,0,0,1,3,206,11.7,16:05,41.9,BUF,10000000,9000000
Jeremy Lauzon,20232024,NSH,L,D,76,6,8,14,-2,96,0.18,6,14,0,0,0,0,0,0,98,6.1,18:29,--,NSH,2000000,2000000
Jesper Boqvist,20232024,BOS,L,C,44,6,8,14,12,6,0.32,6,14,0,0,0,0,1,1,47,12.8,10:59,35.6,BOS,775000,775000
Jesper Bratt,20232024,NJD,L,L,80,27,55,82,-6,12,1.03,20,54,7,27,0,1,0,7,246,11,19:14,36.4,NJD,5000000,7875000
Jesper Fast,20232024,CAR,R,R,70,6,13,19,1,16,0.27,6,19,0,0,0,0,0,0,71,8.5,12:44,43.8,CAR,2400000,2400000
Jesperi Kotkaniemi,20232024,CAR,L,C,76,11,14,25,-5,36,0.33,10,22,1,2,0,1,0,0,121,9.1,12:54,50.8,CAR,4500000,4820000
Jimmy Vesey,20232024,NYR,L,L,78,13,13,26,-2,20,0.33,13,26,0,0,0,0,0,4,111,11.7,12:25,39.1,NYR,800000,800000
JJ Peterka,20232024,BUF,L,R,80,28,22,50,12,28,0.63,25,43,3,7,0,0,0,5,219,12.8,16:15,20,NA,NA,NA
Joe Pavelski,20232024,DAL,R,C,80,27,39,66,12,20,0.83,16,45,11,21,0,0,1,4,190,14.2,16:47,50.7,DAL,3500000,3500000
Joe Veleno,20232024,DET,L,C,77,11,16,27,-16,23,0.35,8,21,3,5,0,1,0,1,84,13.1,14:02,48.3,NA,NA,NA
Joel Armia,20232024,MTL,R,R,63,17,7,24,4,30,0.38,15,22,0,0,2,2,0,3,133,12.8,15:27,31.3,MTL,4800000,3400000
Joel Eriksson Ek,20232024,MIN,L,C,73,30,32,62,18,54,0.85,17,41,12,20,1,1,0,5,259,11.6,20:40,49.7,MIN,6000000,5250000
Joel Farabee,20232024,PHI,L,L,80,22,28,50,-14,37,0.63,20,43,2,7,0,0,1,2,181,12.2,16:15,37.5,PHI,2250000,5000000
Joey Anderson,20232024,CHI,R,R,51,4,12,16,6,8,0.31,4,16,0,0,0,0,0,0,53,7.6,13:36,0,CHI,800000,800000
John Carlson,20232024,WSH,R,D,79,8,42,50,-10,40,0.63,3,30,5,20,0,0,0,3,163,4.9,25:47,--,WSH,4000000,8000000
John Marino,20232024,NJD,R,D,73,4,21,25,-7,41,0.34,4,25,0,0,0,0,0,1,56,7.1,20:55,--,NJD,5250000,4400000
John Tavares,20232024,TOR,L,C,77,26,36,62,3,26,0.81,18,43,8,19,0,0,1,6,269,9.7,17:54,60,TOR,910000,11000000
Johnny Gaudreau,20232024,CBJ,L,L,79,11,48,59,-30,22,0.75,10,41,1,18,0,0,1,2,155,7.1,18:55,0,CBJ,7750000,9750000
Jonas Brodin,20232024,MIN,L,D,58,7,17,24,20,16,0.41,7,23,0,1,0,0,0,1,109,6.4,23:33,--,MIN,8000000,6000000
Jonathan Drouin,20232024,COL,L,L,76,19,37,56,13,28,0.74,14,37,5,19,0,0,1,2,122,15.6,18:11,50,COL,825000,825000
Jonathan Huberdeau,20232024,CGY,L,C,77,12,38,50,-28,45,0.65,8,32,4,18,0,0,0,2,134,9,17:26,48.3,CGY,3500000,10500000
Jonathan Marchessault,20232024,VGK,R,R,78,41,26,67,1,40,0.86,34,52,7,15,0,0,2,5,253,16.2,17:50,26.1,VEG,3500000,5000000
Jonny Brodzinski,20232024,NYR,R,C,57,6,13,19,-3,8,0.33,5,17,1,2,0,0,0,2,89,6.7,11:08,50.2,NYR,775000,762500
Jordan Eberle,20232024,SEA,R,R,74,17,27,44,3,15,0.59,11,32,6,12,0,0,1,3,163,10.4,17:25,43.1,SEA,3750000,5500000
Jordan Greenway,20232024,BUF,L,L,65,9,17,26,10,62,0.4,8,23,1,3,0,0,0,0,104,8.7,17:14,29.1,BUF,3500000,3000000
Jordan Harris,20232024,MTL,L,D,54,3,11,14,-4,22,0.26,3,14,0,0,0,0,0,0,42,7.1,17:28,--,MTL,1400000,1400000
Jordan Kyrou,20232024,STL,R,C,79,29,36,65,-10,22,0.82,22,45,7,20,0,0,0,3,243,11.9,18:26,33.3,STL,9000000,8125000
Jordan Martinook,20232024,CAR,L,L,79,13,17,30,-1,34,0.38,12,29,0,0,1,1,0,1,145,9,14:38,51.8,CAR,2700000,1800000
Jordan Spence,20232024,LAK,R,D,68,2,21,23,7,12,0.34,1,18,1,5,0,0,0,0,78,2.6,14:25,--,LAK,775000,820000
Jordan Staal,20232024,CAR,L,C,79,9,20,29,-15,44,0.37,8,24,0,1,1,4,0,3,118,7.6,15:23,58.3,CAR,3450000,2900000
Josh Anderson,20232024,MTL,R,R,75,9,10,19,-19,72,0.25,9,17,0,2,0,0,0,0,136,6.6,15:29,48.4,MTL,8000000,5500000
Josh Manson,20232024,COL,R,D,73,7,16,23,12,81,0.32,6,21,0,0,1,2,0,0,120,5.8,17:41,0,COL,5000000,4500000
Josh Morrissey,20232024,WPG,L,D,79,9,55,64,30,44,0.81,8,47,1,17,0,0,0,1,194,4.6,24:13,--,NA,NA,NA
Josh Norris,20232024,OTT,L,C,50,16,14,30,-6,22,0.6,11,17,5,12,0,1,0,3,115,13.9,17:38,52.2,NA,NA,NA
Juraj Slafkovsky,20232024,MTL,L,L,79,19,29,48,-19,55,0.61,13,34,6,14,0,0,0,2,147,12.9,17:50,50,MTL,855000,950000
Justin Bailey,20232024,SJS,R,R,58,5,9,14,-15,6,0.24,5,13,0,1,0,0,0,0,68,7.4,11:16,35.3,SJS,775000,775000
Justin Danforth,20232024,CBJ,R,R,69,10,12,22,-15,26,0.32,10,22,0,0,0,0,0,1,82,12.2,14:16,47.9,CBJ,975000,975000
Justin Faulk,20232024,STL,R,D,60,2,28,30,-2,39,0.5,1,22,1,7,0,1,0,1,132,1.5,21:58,--,STL,7900000,6500000
Justin Schultz,20232024,SEA,R,D,66,7,18,25,-18,22,0.38,7,16,0,9,0,0,1,2,96,7.3,16:26,--,SEA,3000000,3000000
Juuso Valimaki,20232024,ARI,L,D,65,2,14,16,12,12,0.25,2,12,0,4,0,0,0,0,67,3,18:55,--,NA,NA,NA
K'Andre Miller,20232024,NYR,L,D,78,8,22,30,3,49,0.38,8,28,0,1,0,1,1,3,94,8.5,21:34,--,NYR,2748000,3872000
Kaapo Kakko,20232024,NYR,L,R,59,13,6,19,6,18,0.32,12,18,1,1,0,0,0,2,88,14.8,13:17,54.6,NYR,2400000,2100000
Kaiden Guhle,20232024,MTL,L,D,70,6,16,22,-8,56,0.31,6,22,0,0,0,0,1,1,95,6.3,20:51,--,MTL,832500,863333
Kailer Yamamoto,20232024,SEA,R,R,56,7,8,15,-7,16,0.27,5,9,2,6,0,0,0,2,56,12.5,11:55,37.7,SEA,1500000,1500000
Kasperi Kapanen,20232024,STL,R,R,70,5,16,21,-4,14,0.3,4,19,0,0,1,2,0,1,92,5.4,14:23,34.2,STL,3200000,3200000
Keegan Kolesar,20232024,VGK,R,R,75,7,9,16,-8,49,0.21,6,14,0,0,1,2,0,2,70,10,10:54,35.7,VEG,1400000,1400000
Kent Johnson,20232024,CBJ,L,C,42,6,10,16,-2,10,0.38,6,16,0,0,0,0,1,1,62,9.7,13:33,40,NA,NA,NA
Kevin Fiala,20232024,LAK,L,L,79,28,43,71,1,62,0.9,17,41,11,30,0,0,1,2,214,13.1,18:00,27,LAK,4875000,7875000
Kevin Hayes,20232024,STL,L,R,77,13,16,29,0,12,0.38,13,24,0,5,0,0,0,2,149,8.7,14:29,57.5,STL,3250000,3571429
Kevin Korchinski,20232024,CHI,L,D,72,5,9,14,-37,20,0.19,5,8,0,6,0,0,1,2,92,5.4,19:38,--,CHI,855000,918333
Kevin Shattenkirk,20232024,BOS,R,D,58,5,17,22,-1,16,0.38,3,12,2,10,0,0,0,0,74,6.8,15:42,--,BOS,1050000,1050000
Kevin Stenlund,20232024,FLA,R,C,79,10,4,14,-10,62,0.18,9,13,0,0,1,1,0,3,78,12.8,12:38,51.3,FLA,1000000,1000000
Kiefer Sherwood,20232024,NSH,R,L,65,9,17,26,17,41,0.4,9,26,0,0,0,0,0,1,104,8.7,12:07,46.7,NSH,775000,775000
Kirill Kaprizov,20232024,MIN,L,L,71,42,48,90,10,34,1.27,25,51,17,39,0,0,2,8,255,16.5,21:30,0,MIN,12500000,9000000
Kirill Marchenko,20232024,CBJ,R,R,76,23,18,41,-5,12,0.54,14,28,9,13,0,0,0,1,189,12.2,16:27,32.5,CBJ,832500,925000
Klim Kostin,20232024,"DET,SJS",L,C,49,8,6,14,-10,53,0.29,8,13,0,1,0,0,0,0,42,19.1,10:38,36.8,SJS,1800000,2000000
Kris Letang,20232024,PIT,R,D,79,10,40,50,16,62,0.63,10,44,0,5,0,1,0,2,158,6.3,24:41,--,PIT,8000000,6100000
Kyle Connor,20232024,WPG,L,L,63,32,25,57,-8,6,0.9,27,39,5,18,0,0,3,10,217,14.8,19:43,28.6,WPG,7500000,7142857
Kyle Okposo,20232024,"BUF,FLA",R,R,66,12,10,22,1,34,0.33,9,17,2,4,1,1,0,0,113,10.6,13:26,47.8,FLA,2500000,2500000
Kyle Palmieri,20232024,NYI,R,C,79,28,21,49,-19,26,0.62,20,31,8,18,0,0,1,7,204,13.7,17:08,39.4,NYI,5000000,5000000
Lars Eller,20232024,PIT,L,C,79,15,14,29,0,32,0.37,10,23,4,5,1,1,0,0,150,10,15:57,52.4,PIT,1450000,2450000
Lawson Crouse,20232024,ARI,L,L,78,22,19,41,-2,36,0.53,15,30,7,10,0,1,0,1,169,13,16:53,30.3,ARI,4600000,4300000
Leo Carlsson,20232024,ANA,L,C,52,12,16,28,-10,16,0.54,8,19,4,9,0,0,0,0,105,11.4,18:05,34.6,ANA,855000,950000
Leon Draisaitl,20232024,EDM,L,C,77,41,63,104,27,76,1.35,20,63,21,39,0,2,2,7,210,19.5,20:45,56.8,EDM,8000000,8500000
Logan Cooley,20232024,ARI,L,C,79,19,24,43,-9,18,0.54,15,29,3,13,1,1,1,2,145,13.1,15:48,38.7,ARI,855000,950000
Logan O'Connor,20232024,COL,R,R,57,13,12,25,13,34,0.44,10,22,0,0,3,3,0,4,85,15.3,14:57,45.3,NA,NA,NA
Logan Stankoven,20232024,DAL,R,C,22,6,8,14,10,4,0.64,5,12,1,2,0,0,0,0,48,12.5,14:44,62.5,DAL,775000,814167
Lucas Raymond,20232024,DET,R,L,79,29,39,68,-16,28,0.86,23,52,6,16,0,0,2,3,152,19.1,17:39,40,DET,832500,925000
Lukas Reichel,20232024,CHI,L,L,61,4,10,14,-30,12,0.23,2,12,2,2,0,0,0,0,78,5.1,14:10,43.4,CHI,832500,925000
Luke Evangelista,20232024,NSH,R,R,77,16,19,35,0,18,0.45,13,27,3,8,0,0,0,1,162,9.9,13:53,25,NSH,775000,797500
Luke Hughes,20232024,NJD,L,D,80,9,38,47,-25,28,0.59,5,22,4,25,0,0,1,1,132,6.8,21:24,--,NJD,832500,925000
Luke Kunin,20232024,SJS,R,C,74,11,7,18,-26,81,0.24,9,13,2,5,0,0,0,1,96,11.5,15:41,45,SJS,3000000,2750000
MacKenzie Weegar,20232024,CGY,R,D,78,19,29,48,0,51,0.62,16,33,3,13,0,2,1,2,197,9.6,22:51,--,CGY,4250000,6250000
Marco Rossi,20232024,MIN,L,C,78,21,17,38,-2,45,0.49,19,33,2,5,0,0,1,2,161,13,16:41,44.4,MIN,832500,863333
Marcus Foligno,20232024,MIN,L,L,55,10,12,22,10,59,0.4,10,21,0,0,0,1,0,3,56,17.9,14:29,38.9,MIN,4100000,3100000
Marcus Johansson,20232024,MIN,L,L,74,10,18,28,-13,18,0.38,9,23,1,5,0,0,0,0,105,9.5,15:54,18.8,MIN,2000000,2000000
Marcus Pettersson,20232024,PIT,L,D,79,4,24,28,27,42,0.35,4,28,0,0,0,0,1,1,104,3.9,22:41,--,PIT,4025175,4025175
Mario Ferraro,20232024,SJS,L,D,75,2,17,19,-35,36,0.25,2,19,0,0,0,0,0,0,119,1.7,22:56,--,SJS,3250000,3250000
Mark Jankowski,20232024,NSH,L,C,29,7,7,14,9,6,0.48,6,12,0,1,1,1,0,1,47,14.9,12:26,50.3,NSH,775000,775000
Mark Scheifele,20232024,WPG,R,C,72,25,45,70,18,57,0.97,19,52,6,18,0,0,1,4,151,16.6,20:10,48.2,WPG,6000000,6125000
Mark Stone,20232024,VGK,R,R,56,16,37,53,1,22,0.95,10,35,4,14,2,4,1,5,117,13.7,19:24,0,NA,NA,NA
Martin Fehervary,20232024,WSH,L,D,63,3,13,16,-10,24,0.25,3,15,0,0,0,1,0,0,58,5.2,19:18,--,NA,NA,NA
Martin Necas,20232024,CAR,R,C,74,24,29,53,-6,42,0.72,16,40,8,13,0,0,2,3,217,11.1,17:23,34.8,NA,NA,NA
Martin Pospisil,20232024,CGY,L,C,59,8,12,20,10,99,0.34,8,20,0,0,0,0,0,1,104,7.7,12:39,45.7,CGY,775000,775000
Mason Appleton,20232024,WPG,R,C,79,14,21,35,13,26,0.44,11,31,2,2,1,2,0,2,118,11.9,16:03,50,WPG,2250000,2166667
Mason Marchment,20232024,DAL,L,L,79,21,31,52,21,54,0.66,15,41,6,11,0,0,0,3,143,14.7,15:03,44.4,DAL,4800000,4500000
Mason McTavish,20232024,ANA,L,C,64,19,23,42,-23,86,0.66,14,32,4,8,1,2,1,3,130,14.6,16:17,51.7,ANA,832500,894167
Mathew Barzal,20232024,NYI,R,C,78,23,57,80,-2,34,1.03,18,55,5,25,0,0,2,4,234,9.8,20:06,43,NYI,9150000,9150000
Mathieu Joseph,20232024,OTT,L,R,69,11,24,35,-4,51,0.51,10,33,0,0,1,2,0,3,117,9.4,16:23,34.4,OTT,2700000,2950000
Matias Maccelli,20232024,ARI,L,L,79,14,39,53,-7,8,0.67,12,40,2,12,0,1,0,1,143,9.8,16:20,25,ARI,3000000,3425000
Mats Zuccarello,20232024,MIN,L,R,68,11,51,62,-5,28,0.91,6,29,5,33,0,0,0,1,171,6.4,18:49,38,MIN,3000000,6000000
Matt Boldy,20232024,MIN,L,L,71,27,36,63,5,48,0.89,18,41,9,22,0,0,1,7,212,12.7,18:53,41,NA,NA,NA
Matt Duchene,20232024,DAL,L,C,78,25,39,64,14,18,0.82,19,48,6,16,0,0,2,7,169,14.8,16:46,56.7,DAL,3000000,3000000
Matt Roy,20232024,LAK,R,D,78,4,20,24,20,42,0.31,4,21,0,1,0,2,0,0,130,3.1,20:58,--,LAK,4200000,3150000
Matthew Knies,20232024,TOR,L,L,77,15,20,35,9,43,0.45,15,33,0,2,0,0,0,3,111,13.5,13:43,0,TOR,832500,925000
Matthew Poitras,20232024,BOS,R,C,33,5,10,15,4,6,0.45,5,14,0,1,0,0,0,1,40,12.5,13:24,43.7,NA,NA,NA
Matthew Tkachuk,20232024,FLA,L,L,78,26,59,85,15,86,1.09,19,52,6,32,1,1,0,2,265,9.8,18:36,33.3,FLA,1000000,9500000
Mattias Ekholm,20232024,EDM,L,D,75,11,33,44,43,43,0.59,8,40,2,3,1,1,0,3,167,6.6,21:03,--,EDM,6240000,6000000
Matty Beniers,20232024,SEA,L,C,73,14,22,36,-8,20,0.49,9,24,5,12,0,0,0,1,127,11,17:56,46.8,NA,NA,NA
Max Domi,20232024,TOR,L,C,79,9,38,47,12,116,0.59,8,45,1,2,0,0,0,1,136,6.6,13:45,49.9,TOR,3000000,3000000
Max Jones,20232024,ANA,L,L,52,5,10,15,-6,33,0.29,5,14,0,1,0,0,0,0,76,6.6,12:03,31.3,ANA,1500000,1295000
Max Pacioretty,20232024,WSH,L,L,44,4,18,22,-14,25,0.5,2,11,2,11,0,0,0,0,92,4.4,14:37,29.4,WSH,2000000,2000000
Michael Amadio,20232024,VGK,R,R,71,13,13,26,4,14,0.37,10,21,3,5,0,0,0,1,111,11.7,13:23,51.5,VEG,775000,762500
Michael Bunting,20232024,"CAR,PIT",L,L,78,18,32,50,-17,57,0.64,12,32,6,18,0,0,0,3,161,11.2,15:36,27.3,PIT,1500000,4500000
Michael Carcone,20232024,ARI,L,L,71,21,8,29,-3,33,0.41,19,26,1,2,1,1,0,4,107,19.6,11:17,25,ARI,775000,775000
Michael Eyssimont,20232024,TBL,L,C,78,11,13,24,7,99,0.31,9,20,2,4,0,0,0,2,143,7.7,11:53,41.7,TBL,800000,800000
Michael Kesselring,20232024,ARI,R,D,62,5,13,18,11,64,0.29,5,18,0,0,0,0,0,2,72,6.9,15:36,--,ARI,832500,925000
Michael McCarron,20232024,NSH,R,R,67,12,10,22,5,100,0.33,12,22,0,0,0,0,0,3,88,13.6,12:42,53,NSH,775000,775000
Michael McLeod,20232024,NJD,R,C,45,10,9,19,6,10,0.42,10,19,0,0,0,0,0,2,73,13.7,15:09,65,NA,NA,NA
Michael Rasmussen,20232024,DET,L,C,75,13,20,33,8,47,0.44,12,29,0,0,1,4,0,3,101,12.9,15:11,48.3,DET,1900000,1460000
Mika Zibanejad,20232024,NYR,R,C,79,26,44,70,12,30,0.89,12,35,12,31,2,4,2,3,210,12.4,19:43,49.5,NYR,1000000,8500000
Mikael Backlund,20232024,CGY,L,C,78,15,23,38,-3,24,0.49,12,33,2,3,1,2,0,2,204,7.4,19:19,50,CGY,5350000,5350000
Mikael Granlund,20232024,SJS,L,C,66,12,44,56,-20,32,0.85,11,33,1,22,0,1,1,1,129,9.3,21:00,47,SJS,6000000,5000000
Mike Hoffman,20232024,SJS,L,C,66,10,13,23,-21,20,0.35,7,17,3,6,0,0,0,1,71,14.1,13:44,37.5,SJS,5000000,4500000
Mike Matheson,20232024,MTL,L,D,79,10,50,60,-24,58,0.76,4,32,5,27,1,1,0,0,180,5.6,25:31,--,NA,NA,NA
Mike Reilly,20232024,"FLA,NYI",L,D,58,6,16,22,-2,26,0.38,5,18,0,3,1,1,0,1,122,4.9,17:04,--,NYI,1000000,1000000
Mikey Anderson,20232024,LAK,L,D,71,2,16,18,20,16,0.25,2,17,0,0,0,1,0,0,87,2.3,20:45,--,NA,NA,NA
Mikhail Sergachev,20232024,TBL,L,D,34,2,17,19,-16,16,0.56,2,12,0,7,0,0,0,0,53,3.8,22:33,--,NA,NA,NA
Mikko Rantanen,20232024,COL,L,R,77,40,62,102,20,50,1.32,26,62,14,40,0,0,0,8,259,15.4,23:04,53.9,COL,9500000,9250000
